,Restaurant,Main rating,Ranking on list,Price range,Price class,Location,Distance from Kgs. Nytorv (m),Good price,Food,Service,Atmosphere,Type of food,Number of reviews,Address,New Price class,Price Class Numeric,Reverse ranking on list,Full ranking,Pop kitchen
88,Sticks'n'Sushi,4.5,90,3.688,--$$-$$$---------,"55.683357,12.584706",377.0,4.0,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c27-Copenhagen_Zealand.html"">Japansk</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, <a href=""/Restaurants-g189541-c38-Copenhagen_Zealand.html"">Sushi</a></div>",264,"Borgergade 13, København 1300 Danmark",$$-$$$,2,-90,11,['Fisk og skaldyr']
87,Sticks'n'Sushi,4.5,89,550.0,--$$-$$$---------,"55.669716,12.554844",2165.0,4.0,4.5,4.5,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c27-Copenhagen_Zealand.html"">Japansk</a>, <a href=""/Restaurants-g189541-c38-Copenhagen_Zealand.html"">Sushi</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a></div>",310,"Istedgade 62, København 1650 Danmark",$$-$$$,2,-89,12,[]
86,Fleisch,4.5,88,,--$$-$$$---,"55.66907,12.558636",2010.0,4.0,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Skandinavisk, Dansk, <a href=""/Restaurants-g189541-zfz10992-Copenhagen_Zealand.html"">Glutenfri retter</a></div>",432,"Slagterboderne 7 Kødbyen, København 1716 Danmark",$$-$$$,2,-88,13,[]
85,Fuego,4.5,87,4.023,--$$$$---------,"55.678135,12.588968",363.0,4.0,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c37-Copenhagen_Zealand.html"">Steakhouse</a>, <a href=""/Restaurants-g189541-c10639-Copenhagen_Zealand.html"">Latinamerikansk</a>, <a href=""/Restaurants-g189541-c10698-Copenhagen_Zealand.html"">Argentinsk</a></div>",677,"Holbergsgade 14, København 1057 Danmark",$$$$,3,-87,14,['Steakhouse']
83,Ristorante Buono,4.5,84,,--$$-$$$---------,"55.67157,12.559303",1819.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a></div>",169,"Abel Cathrines Gade 21, København 1654 Danmark",$$-$$$,2,-84,15,['Italiensk']
82,Formel B,4.5,83,,--$$$$---,"55.67058,12.535531",3225.0,4.0,4.5,4.5,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",608,"Vesterbrogade 182, København 1800 Danmark",$$$$,3,-83,16,[]
81,Restaurant Koefoed,4.5,82,1.106,--$$$$---,"55.683163,12.585317",361.0,4.0,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",674,"Landgreven 3, København 1301 Danmark",$$$$,3,-82,17,[]
80,Halifax København K,4.5,81,,--$$-$$$------,"55.678185,12.569627",934.0,4.0,4.5,4.5,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c2-Copenhagen_Zealand.html"">Amerikansk</a>, Bar, <a href=""/Restaurants-g189541-c10646-Copenhagen_Zealand.html"">Fastfood</a></div>",258,"Larsbjoernsstraede 9, København 1454 Danmark",$$-$$$,2,-81,18,[]
79,simpleRAW,4.5,80,148.0,--$$-$$$---------,"55.679848,12.575983",515.0,4.0,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",230,"Gråbrødretorv 9, København 1154 Danmark",$$-$$$,2,-80,19,[]
78,Pony,4.5,79,449.0,--$$$$---,"55.67022,12.540435",2950.0,4.0,4.5,4.5,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",274,"Vesterbrogade 135, København 1620 Danmark",$$$$,3,-79,20,[]
77,Restaurant Brace,4.5,78,778.0,--$$$$------,"55.679573,12.568498",985.0,4.0,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Dansk</div>",199,"Teglgardstraede 8A, København 1452 Danmark",$$$$,3,-78,21,['Italiensk']
76,Asador,4.5,77,899.0,--$$-$$$---------,"55.672287,12.590602",945.0,4.0,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c37-Copenhagen_Zealand.html"">Steakhouse</a>, <a href=""/Restaurants-g189541-c6-Copenhagen_Zealand.html"">Grillmad</a>, <a href=""/Restaurants-g189541-c10698-Copenhagen_Zealand.html"">Argentinsk</a></div>",439,"Overg. Neden Vandet 17, København 1414 Danmark",$$-$$$,2,-77,22,['Steakhouse']
75,Cafe Gl. Torv - Huset med det grønne træ,4.5,76,181.0,--$$-$$$,"55.678246,12.572392",764.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Skandinavisk, Dansk</div>",195,"Gammeltorv 20, København 1457 Danmark",$$-$$$,2,-76,23,[]
74,Toto Vin & Spisebar,4.5,75,,--$$-$$$------,"55.65585,12.60989",3130.0,4.5,5.0,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Vinstue, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",87,"Amagerbrogade 145, København 2300 Danmark",$$-$$$,2,-75,24,[]
73,Restaurant Palægade,4.5,74,402.0,--$$-$$$---,"55.68222,12.586586",291.0,4.0,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",327,"Palaegade 8, København 1261 Danmark",$$-$$$,2,-74,25,[]
72,Black Swan,4.5,73,,--$$-$$$,"55.68648,12.587611",754.0,4.5,4.0,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Pub</div>",117,"Borgergade 93, København 1300 Danmark",$$-$$$,2,-73,26,[]
71,Restaurant AOC,4.5,72,,--$$$$---,"55.68324,12.5892",480.0,4.0,4.5,4.5,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",326,"Dronningens Tværgade 2, København 1302 Danmark",$$$$,3,-72,27,[]
70,RetroGusto,4.5,71,,--$$-$$$---------,"55.67287,12.558201",1811.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",571,"Vesterbrogade 31, 1620 Kbh-V Vesterbrogade 31,, København 1620 Danmark",$$-$$$,2,-71,28,['Italiensk']
69,Den Lille Fede Restaurant,4.5,70,6.706,--$$$$---,"55.68215,12.585653",258.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Centraleuropæisk, Skandinavisk</div>",721,"Store Kongensgade 17, København 1264 Danmark",$$$$,3,-70,29,[]
68,Ravnsborg Kitchen & Bar,4.5,69,248.0,--$$-$$$---------,"55.687878,12.561117",1692.0,4.0,4.0,3.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a></div>",338,"Ravnsborggade 1, København 2200 Danmark",$$-$$$,2,-69,30,"['Café', 'Italiensk']"
67,Aamanns 1921,4.5,68,449.0,--$$-$$$---,"55.6803,12.575873",523.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Dansk, Skandinavisk, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",206,"Niels Hemmingsens Gade 19-21, København 1153 Danmark",$$-$$$,2,-68,31,[]
66,Aamanns Etablissement,4.5,67,262.0,--$$-$$$---,"55.690094,12.57505",1262.0,4.0,4.5,4.5,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Dansk, Skandinavisk, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",193,"Oester Farimagsgade 12, København 2100 Danmark",$$-$$$,2,-67,32,[]
65,Era Ora,4.5,66,1.281,--$$$$------,"55.673244,12.591508",878.0,4.0,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Moderne</div>",602,"Overgaden Neden Vandet 33B, København 1414 Danmark",$$$$,3,-66,33,['Italiensk']
64,Stempel - Bar & Kitchen,4.5,64,4.023,--$$-$$$---,"55.667545,12.54769",2674.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Bar, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, Dansk</div>",264,"Enghave Plads 2, København 1670 Danmark",$$-$$$,2,-64,34,['Café']
63,Chez Bruno,4.5,63,235.0,--$$-$$$---------,"55.673634,12.555206",1949.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",392,"Gammel Kongevej 27, St, København 1610 Danmark",$$-$$$,2,-63,35,[]
62,KöD København,4.5,62,,--$$-$$$---------,"55.677498,12.582363",298.0,4.5,4.5,4.5,5.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c2-Copenhagen_Zealand.html"">Amerikansk</a>, <a href=""/Restaurants-g189541-c37-Copenhagen_Zealand.html"">Steakhouse</a>, <a href=""/Restaurants-g189541-c6-Copenhagen_Zealand.html"">Grillmad</a></div>",1010,"Admiralgade 25, København 1066 Danmark",$$-$$$,2,-62,36,['Steakhouse']
61,Restaurant Ravelinen,4.5,61,221.0,--$$-$$$---,"55.6704,12.595598",1283.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",354,"Torvegade 79, København 1400 Danmark",$$-$$$,2,-61,37,[]
60,Khun Juk Oriental,4.5,60,235.0,--$$-$$$---------,"55.68213,12.58526",249.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c39-Copenhagen_Zealand.html"">Thai</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",810,"Store Kongensgade 9 Backyard, København Danmark",$$-$$$,2,-60,38,['Thai']
59,Palæ Bar,4.5,59,,--$,"55.6813,12.583736",150.0,4.5,4.0,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, Bar, Pub, Dansk</div>",136,"Ny Adelgade 5, København 1104 Danmark",$,1,-59,39,[]
58,Kiin Kiin,4.5,58,1.153,--$$$$---------,"55.6919,12.557358",2142.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c39-Copenhagen_Zealand.html"">Thai</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",801,"Guldbergsgade 21, København 2200 Danmark",$$$$,3,-58,40,['Thai']
57,BENTO Restaurant & Cocktail Bar,4.5,57,349.0,--$$-$$$---------,"55.67139,12.561472",1715.0,4.0,4.5,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c27-Copenhagen_Zealand.html"">Japansk</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",287,"Helgolandsgade 16, København 1653 Danmark",$$-$$$,2,-57,41,[]
56,Souls Nørreport,4.5,56,,--$$-$$$------,"55.685238,12.568355",1152.0,4.5,4.5,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Moderne, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",108,"Nørre Farimagsgade 63, København Danmark",$$-$$$,2,-56,42,[]
55,Mad & Kaffe,4.5,55,,--$$-$$$------,"55.665863,12.550308",2641.0,4.0,4.5,4.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk</div>",528,"Sønder Boulevard 68 København V, København 1720 Danmark",$$-$$$,2,-55,43,['Café']
53,Kadeau,4.5,53,952.0,--$$$$---,"55.672188,12.588876",915.0,4.0,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",296,"Wildersgade 10B Christianhavn, København 1408 Danmark",$$$$,3,-53,44,[]
52,Restaurant Tight,4.5,52,255.0,--$$-$$$---------,"55.678165,12.576488",523.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a></div>",2868,"Hyskenstræde 10, København 1207 Danmark",$$-$$$,2,-52,45,[]
51,Restaurant Amalie,4.5,51,141.0,--$$-$$$---,"55.68273,12.592147",585.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",415,"Amaliegade 11, København 1256 Danmark",$$-$$$,2,-51,46,[]
50,Restaurant Schoennemann,4.5,50,,--$$-$$$---,"55.682747,12.575774",611.0,4.0,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",730,"Hauser Plads 16, København 1127 Danmark",$$-$$$,2,-50,47,[]
49,Morgenstedet,4.5,49,101.0,--$---------,"55.673927,12.603153",1366.0,4.5,4.5,4.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a>, <a href=""/Restaurants-g189541-zfz10992-Copenhagen_Zealand.html"">Glutenfri retter</a></div>",244,"Fabriksomraadet 134, København 1440 Danmark",$,1,-49,48,[]
48,KöD Vesterbro,4.5,48,449.0,--$$-$$$---------,"55.6728,12.558157",1817.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c37-Copenhagen_Zealand.html"">Steakhouse</a>, <a href=""/Restaurants-g189541-c6-Copenhagen_Zealand.html"">Grillmad</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",769,"Vesterbrogade 33, København 1620 Danmark",$$-$$$,2,-48,49,['Steakhouse']
47,Sporvejen,4.5,47,101.0,--$---,"55.679707,12.575636",537.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Grill, Dansk</div>",977,"Graabroedretorv 17, København 1154 Danmark",$,1,-47,50,[]
46,Restaurant Radio,4.5,46,,--$$$$---,"55.682026,12.554082",1901.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",846,"Julius Thomsens Gade 12, København Danmark",$$$$,3,-46,51,[]
45,Frenchy,4.5,45,,--$$-$$$---------,"55.677998,12.576669",520.0,4.5,4.5,5.0,5.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",190,"Hyskenstraede 16 Store Kongensgade 69, København 1207 Danmark",$$-$$$,2,-45,52,['Café']
44,Chao Viet Kitchen,4.5,44,107.0,--$---------,"55.677105,12.571456",860.0,4.0,4.5,4.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c41-Copenhagen_Zealand.html"">Vietnamesisk</a>, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a></div>",362,"Kattesundet 8 Indre By, København 1458 Danmark",$,1,-44,53,[]
43,Temporada Tapasbodega,4.5,43,349.0,--$$-$$$---------,"55.684452,12.554217",1944.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-c36-Copenhagen_Zealand.html"">Spansk</a></div>",282,"Åboulevard 23 Frederiksberg, København 2000 Danmark",$$-$$$,2,-43,54,[]
